Legends:
 - P: time periods since still exists and alive the address # 0: 0-1h, 1: 1h-3h, 2: 3h-12h, 3: 12h-24h, 4: 1d-3d, 5: 3d-1w, 6: 1w-1m,  7: 1-3m, 8:>3m
 - CurV: Current Balance of the address (now)
 - MaxV: Max blance in the last 3 months
 - CHG%: diff between current and max(3m) balance
 - 1h%: balance change in the last hour
 - 3h%: balance change in last three hours
 [...] 
 - 3m%: balance change in last three months
--------------------------------------------------------------------------------------------------------------------
                           address P    CurV    MaxV    CHG%     1h%     3h%    12h%     1d%     1w%     1m%     3m%  
173gzzrbkCaX6T2L5QUWcXSz2rFo3BAzE7 8  13.60K  13.60K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1GKztam9D8ZWK9GxsNoNZbVSVs9Pk1nAXp 8  13.00K  13.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1GA3umU6Z1pApEM47r8SD4VUDhWyUbh1Q9 8  12.56K  12.56K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1HBM45n214sV9yXoizBwTksUgEysTPpk46 8  12.00K  12.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1923qxU74HWWz75LgWTsPE4FT9Zyd6n6bv 8  11.34K  13.49K  -15.94    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC 8  10.77K  10.77K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3Kg7Cmooris7cLErTsijq6qR1FH3cTiK2G 8  19.75K 158.00K  -87.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3FXFshYr97aQUizVEGwdCLNdDihWtqHsT9 8  10.64K  10.67K   -0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1JsVdtXZHKnuzUihEjCPyRm5EEcxRjWGEh 8  19.59K  24.50K  -20.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
 1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr 8  10.01K  10.01K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
187Nqgq3WoKihPNMtWYfRe6z2CFUJhbgFh 8  10.00K  10.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
19PPeuu4jPjqtefSQ2FDgKmNJ88Z5wiuJt 8  10.00K  10.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
15jdxjFhXUsp2xuycmKnjw8yk1WsVon69c 8  10.00K  10.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
18LpE3eaXgzUc7XGTNKCgZkD4EZN4NcAbK 8  10.00K  10.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
